time_ms,status,target_temp,current_temp,heater_power,step,profile,door_closed,fan,timer
1602,Idle,25.00,25.00,0,N/A,No Profile,True,False,0
1702,Idle,25.00,25.00,0,N/A,No Profile,True,False,0
1802,Idle,25.00,25.00,0,N/A,No Profile,True,False,0
1902,Idle,25.00,25.00,0,N/A,No Profile,True,False,0
2003,Idle,25.00,25.00,0,N/A,No Profile,True,False,0
2103,Idle,25.00,25.00,0,N/A,No Profile,True,False,0
2203,Idle,25.00,25.00,0,N/A,No Profile,True,False,0
2303,Idle,25.00,25.00,0,N/A,No Profile,True,False,0
2403,Idle,25.00,25.00,0,N/A,No Profile,True,False,0
2504,Error,0.00,25.00,0,N/A,No Profile,True,False,3000
2604,Error,0.00,25.00,0,N/A,No Profile,True,False,3000
2704,Error,0.00,25.00,0,N/A,No Profile,True,False,3000
2804,Error,0.00,25.00,0,N/A,No Profile,True,False,3000
2905,Error,0.00,25.00,0,N/A,No Profile,True,False,3000
3005,Error,0.00,25.00,0,N/A,No Profile,True,False,3000
3105,Error,0.00,25.00,0,N/A,No Profile,True,False,3000
3205,Error,0.00,25.00,0,N/A,No Profile,True,False,3000
3306,Error,0.00,25.00,0,N/A,No Profile,True,False,3000
3406,Error,0.00,25.00,0,N/A,No Profile,True,False,3000
3506,Error,0.00,25.00,0,N/A,No Profile,True,False,4000
3606,Error,0.00,25.00,0,N/A,No Profile,True,False,4000
3706,Error,0.00,25.00,0,N/A,No Profile,True,False,4000
3807,Error,0.00,25.00,0,N/A,No Profile,True,False,4000
3907,Error,0.00,25.00,0,N/A,No Profile,True,False,4000
4007,Error,0.00,25.00,0,N/A,No Profile,True,False,4000
4107,Error,0.00,25.00,0,N/A,No Profile,True,False,4000
4208,Error,0.00,25.00,0,N/A,No Profile,True,False,4000
4308,Error,0.00,25.00,0,N/A,No Profile,True,False,4000
4408,Error,0.00,25.00,0,N/A,No Profile,True,False,4000
4508,Error,0.00,25.00,0,N/A,No Profile,True,False,5000
4609,Error,0.00,25.00,0,N/A,No Profile,True,False,5000
4709,Error,0.00,25.00,0,N/A,No Profile,True,False,5000
4809,Error,0.00,25.00,0,N/A,No Profile,True,False,5000
4909,Error,0.00,25.00,0,N/A,No Profile,True,False,5000
5010,Error,0.00,25.00,0,N/A,No Profile,True,False,5000
5110,Error,0.00,25.00,0,N/A,No Profile,True,False,5000
5210,Error,0.00,25.00,0,N/A,No Profile,True,False,5000
5310,Error,0.00,25.00,0,N/A,No Profile,True,False,5000
5411,Error,0.00,25.00,0,N/A,No Profile,True,False,5000
5511,Error,0.00,25.00,0,N/A,No Profile,True,False,6001
5611,Error,0.00,25.00,0,N/A,No Profile,True,False,6001
5711,Error,0.00,25.00,0,N/A,No Profile,True,False,6001
